1BSypxcnR1RxhS593w1DUeH4Qd7P4dF3Qo,0;
1Gx7i5W5d1VThJRsD98J14Q1pJDJ3gGyFc,2789.68241317;
13aKACQKL4XmXHNthUpdLNV6HzofY6iRZA,0;
1HQxp3TfXEfy45yUbh2Rqf1EysCj9RTHHM,0;
1AENhCv5Zo77GxW1wr65A9LLYZmWsqF5ba,0;
14MqdiRLfYaucWvaU9sdcHBypJT1rce8Xo,8433.86358557;
1EFjbKFMhCLY3qXcQ9LiMiV7nR4SnejUPb,1005.000242;
1Q1Ba29pNSiUeGa6SNxuFDreS64FY5ZRSX,975.98962446;
13x1cMza4MBez4xvi2H7RyC4MCaM81Vhbo,0;
11R3b19nTP9z3hC4mNJqgqYS2ZtFW3C6h,334.64074782;
13fvKBv5oVGvyhhEuCjNLa5buqKfvqWVhv,399.10355138;
14AnaXoRzjnB3NBhumZnmcbaf4WErdsfnB,51.103001;
1GyrXkdr7u6haxLhUcWUa3k825fYBomJjo,401.66806;
19goz7WBPBcWGzXvMsXFiJ4L7Td9fag3Hb,0;
121Qa8QUgBhfTkWefw9MJmFyuPjDvkzeDk,555.99940495;
18jjG7GwQxD4vkpzCiAtTrT1SQXnhV2kY6,327.08024924;
1FZEBuZsL6rtEDMjchVStPnwXJhFJ3CSwG,716.23418875;
1MMYCUX1iZFYTBuoxuPAS5uXE4r5RKVG5V,13.36790595;
1NgZ7MjHmVUuuy2Y4UMxDaVm4Me3TcNMpt,672.02022345;
19WNPV7zPBcbepzYpy41B6xZbhu4q2ZS9x,121.27486408;
1QFpVMmdVsq4YJMDjf5VAThq5n7shdE684,35.22046303;
177S2JSMESsVFWJPJrNeCppua33a1H4eer,0;
1LqiF3VKJzJsVfc5Q5K8Nqg7NRuiPPRynS,32.24895438;
1CAHZ6dzV7fGEYrfTMbRVHZrQ8ppm58stD,0;
17KPY5yMrMBCiMtLeVLxSXWVzx1UU3why6,641.7551513;
12wB8G4BsYtaGFwmmgpFYtVHgQhprDYv3Q,444.1951308;
1FtS3QDLgaxjGCWZ4nQoQdyRu7wZtr5Bfh,89.57278664;
1HvtPmBJbpq1nDJ6S8E86HrPaL5rRZdCET,1531.72636984;
1ArAdVTbyaRi1H86W4xbeaUp7k6XX8Xm2F,909.00458521;
17LJdr62eoNTjvKyHbPyC9KYjD2WH5hWpA,349.02374917;
1B6DAM28FNvo5Ah2CkP7tMfoKdfq4EnK12,109.16290141;
1AbCrjGtHQbbrBkBPc6dG2KG7XxpuxaV2c,34.11159033;
1A6Ksptc395tqichvitukNKqC5s8RgXdjz,0;
1KSqLLeUgBkTRyfwRYFtkyzQUqtZpUQC9Y,171.85400884;
13MfjA4mGDabCJhG9jHYDnBzfn384GbMGy,102.74720472;
1C9XnLhpqcF4qgtEms1s9U9f4PrUe56oCs,103.17295062;
1QFyLE79JgL2T8VFzzZtawUWY4kg6tWuwP,22.11796804;
1857hBiMiXHxFpMPE55rzNTyAd9k3Ka1ng,0;
18gM3DrivsLg9CeVB1FZKgyFZPWBxhxcLz,0.01459844;
15h5ndyCtGn8T41c5v8wfLQnU5QZchvCyw,607.84439269;
1NuX4mQV8XrenpmU9QMTiGCsXJLwvHv1mN,0;
19JS4XwrADDUmX8tYPXnoyYMBNoknt3xRp,344.259546;
1H99H8WRJD2yKAEJGYBskcrvvr7KpExskN,1032.07316964;
13aETnft9nUpbV8z6eynC7gANBBvpievA9,1910.017589;
15HxL6HGKdXKrBdNAzkQwkWntxJKzmPdvJ,0.0150235;
19XtkBKsDvb1BBF4jeXMp9Ydo7rQ8iEuhJ,1.481494;
1GAShuU6a4cZ9RxKDLa7taTXYGqGNPUwuG,0;
1JaH7LcPUzbJbGeaY1NjsJZmbVTM5AuEBg,1.783718;
1KcVqHigj3brWVTKxGZ9g9bbGX723zy5R7,1529.00575876;
1KviMcymwXRzuFsGH3wdnGPvwqpJYP7AdJ,572.91425305;
1L6utqTdTwSbY4YyRHJo8xSxDWAAXc4fkD,0;
1Mq8deyTuiZGjfdqY6krkYFDZz4wSJkgQK,599.99;
1NXswrHmxtpu5iC4mizJUEZhoc4EpLTPed,1250.112027;
12KpGjY8F23h6JEfgwtU6hJzisassBmoQa,2711.42271255;
1CNLgkMAPK3mJnxcSEWkeHiEwR3B3gBNkf,61.13688777;
1LhBhrWUAHd7LMk9kyco2LeZGFgmmHmaqZ,12.86605615;
16RL6gdwTDDTmjewaeWrygznjWhZtHoQjN,0.05039219;
1A9bHhHNd8E3XvUfCjeBnnTPmDy79uWm59,300.26397087;
1PE4HPEu1f4mnFotk7T98t5byRAMUhjA7m,0;
1GCeG2a5GRR7HF2cURTcXhAo8Gs3zzdTKJ,241.31676101;
1NkmkmMiFLAFyW3K1PLLkzZ1nFhZx4uhoJ,0.13719164;
1CyYnJXGghHKwiHv2LCpb9bsky83wuzqHU,0;
18aYjLTSBSYkgojfSJPMbh2S5e6SEmNmdX,982.05095242;
16QXg29T65bmKxbAK3mmhUJHMCvgQkVfan,0;
1KL4tmQLiE2YiNvkgYzgpT9YGq2EhQiga2,0;
1VXSthjNLcj6Q4CyHKnmzAfJffBcSRYVf,0;
1DshDUgyzTat4NWuLT9Z8V616zv5h24dSW,69.44936045;
16Ay1Y35AAAiJCsr4T2dL8nGjaLgkZh8Fk,2208.82947425;
17C5P1HLHoGb5LgNbDikpx8pSw354STkM6,17.9854087;
14egPhc9BxjDcynaoKkvsGe6wx4WPjXyJo,1222.91228596;
13LPaSEYw5g1Un59Z4sjvdAx625tCYi4uf,16.62206898;
1Kh7yeYiCZU5hJbk9DLvxmbvLJ6UuejQmg,0;
1Nza1F6fnxsLVjRFbYdhZRnaZE9xKaDqzC,99.18797889;
18EVt17J3wZeyi8wah8f4YubptKq7SVLm5,38.87968234;
1JUnoN5EkWeEhV97SNheyQYuWjjXZTLDKa,40.65293034;
1LLJywSREK5E7oKWrc996He2xnsMJMwMrC,0;
18XnUAEty7AZtcjhhLVTzYi6kawXZXjwvY,299.999774;
1Lg4j3nabRXHP7yBk3pC5BDMyW6fFPkgsv,13.18911441;
1EodsSTTupSrxZpoWMgQRUp1uwa3XUVC39,454.88588088;
13EFMN35VqVb9TpqG17y49QCj7Hc1ff5Vq,551.46586053;
1Pr44iykiUd55jG2MgK5smQKr9FhpTDqdT,20.5897;
1NUAfkismpVDA4fPxFdsi58Guacyz5EW18,1617.7041526;
1AgCLFrVLdaQwrhjVg8hYwK9TFPk27kKcV,0;
1D9ea7eM2GXQhWiZYdsFxMD7k7PBYwTMmy,0;
1G3AVoW6nRYNcLKAAseP8CJaxNpFHJPg3V,0;
1Gm8ou3YKb7jqgLj4KYqdWSHP2rW4uZ4Tz,0;
1EVuQPkrTUTtcp1H3mW6pC8tTYCeAzKFs1,0.0567271;
1LhH8sPJYi2AmCpU13DS4rZKvcosT6iFU2,0;
15MgNqPxY2e3tk9465z6NS3PrGkNjpZRpm,158.62;
14Sw46hLkAdnJ7VKVwYDKzRyUtiXCHDAec,146.02495326;
12weSWPhxbFxo4kHP7C61zr7aCNkqG6LnN,0;
1DRD2rUWde3BvLMTpkuDLp7FZ7ZwMiRy5h,690.81651581;
14P4QoWBSuC6xrMkvEVgzKY6AtDTHTzeMn,2762.73946659;
17QnK3UYcCkFrMDVCMCb2NDpPLjMYnKcG2,0;
1BJ2jWSH51dA3y1U8sLY4MhBVoUqVxy4X3,0;
1CvyJFVdGwdsrPYpEDmAaSxPTWQDY3UCP2,117.69210268;
1CTKtVz4Y6sGt94kL61J3zwRuZmmSwbmZi,0;
1CY3XsR5PkUCW7tQkfnzTFk7kX9NFXQcsW,0;
1DBhE6haugnjY4xrF8gwjmD2DfRCWzjYNE,2762.73946659;
1Dd5aJcT9hmjeoRAVynYRaArJWtL91PqGv,2762.73946659;
1GHr3zrd8BTQQ5PRYG3b5QNCkVtnNVJj5B,2762.73946659;
1GttU7ymi93FWe7vv7Di6CTUqirotYCTaw,2762.73946659;
1JPL2V32USGX1emHrifgtJ2TQ58jnxAaxN,2762.73946659;
1Jq9DmRZSAbdKhY32h4aMkmkfoTvxnWXV2,2271.80781959;
1KRUhsnQPrEeWn1bCRW7SirFRDMopmNzdk,2689.0997196;
1P5ckx5ZciXqC83DfooxAhbNZBoWqUneVT,2762.73946659;
1PTcYogHDXesCNkUdGtnF7qjuEt327mLgf,0;
187XG2EakzwBRaaByNTEzXMvEN6e91xwiv,138.29997001;
1PgMt6XnN29oZ19Yjccjve9jp8g8dtRdjk,0;
1Q8Jpe4uTgQVYBj62kxiHSnn5fkBfi2oix,0;
1ZvZCVkECDmhGbsGqzhz4Aa5VUS3TJKHT,3114.61711909;
12njN3SCF12HrRS7N1HG146E5YRacg3UYd,0;
1AN1ZkHyRkw1rZkjBPuZmHdsGkBVdT3KJb,0;
1KAXoSr2di7YtRYBhy92Yk26phn5hoaBt,88.8918991;
1KcL6MHe6776SWmSbxG2YeA4wCWUmKmX36,55.53293867;
17Lht1kUXtTAgeHVVq9hJ656wGJa7TBHKo,617.97560309;
18dZ2dbUdMGMdCw7EWb4mahXjQJGG9GoK1,12.380597;
1BPw1yc9RHN4uLLge3XLYm9cgnHyo13uL7,1.24692126;
1Ma2NBS3oWVHCabCWNX9jNb8JHWaxFMVjf,310.83434667;
1GBNNvacdRLpSpj22eLxNNBNe9RUsa4mZX,27.31272331;
1Bhk3Kibbcu7GbaWj1mqjKa73ct9dPNXXp,24.31106374;
13nb6oPQryjK5UZQGrNo9i23PTaUw7vQBJ,133.77880254;
17Ak5H5dWbZeEo29FNEn8H88JXRXihNdEh,20.89769833;
1NHLZ7cMQGjZJZUjrsia16Jyo5yFibLmeR,497.66449891;
15SdvZTUAdFFWnYCuKdnBcekxjvzhDGvyS,1.92205742;
1NiZAmycwdKwvaoDNC5wHyoqXWDAVXT6Tp,2881.75971093;
1MqNvF3jmGZY1kytbq4q23ATfPHugLsvS7,1601.15738887;
1CTgxVd2WMuStT6uaHY9DZMdypPNa2PRtQ,67.11079862;
1AzqDJFP8DuXsPZGHM5Rko6o33U1LoP463,320.39162708;
1AwbdnVkr65Kr3xvMsyKFNaSZvNrfCyZSJ,6.82228128;
1DibqWC8GcW2hJ4rQicn5pah6GWBH7hUVs,1.4891022;
1B1i9S7uS3Wg4DPMoaLzUYdmvcjBxTr4qo,52.72283877;
